fold,model,RMSE,MAE,MAPE,R2
1,Linear Regression,11232.514021460243,8664.638172316078,2.3994944687135535,0.9476894285020168
1,BiLSTM,16380.156259605774,12497.19733432351,3.3642968883843083,0.8887572780643747
1,BiGRU,16179.75623298371,12042.535421063001,3.2542516211145704,0.891462584900076
1,CNN-LSTM,15294.487408008461,11248.098134570022,3.044776857386876,0.9030148194771922
2,Linear Regression,11425.277241603564,8819.519243489103,2.608907099704436,0.9330521194430003
2,BiLSTM,14009.290838162999,10388.670890876023,3.0000738183791356,0.899344933288084
2,BiGRU,14030.183505622575,10292.847230633924,2.978496674317557,0.8990444868238104
2,CNN-LSTM,14103.373309727504,10245.85249152028,2.936063367547717,0.8979884512101312
3,Linear Regression,10200.90317197641,7950.418194138187,2.3284115284361766,0.9360518219020857
3,BiLSTM,15005.166669189974,11099.644686606589,3.1645295556268036,0.8616329847484253
3,BiGRU,14487.93371009835,10630.881786669044,3.0324795021323223,0.8710076883478266
3,CNN-LSTM,14889.175004691153,11047.744968402987,3.1731268579660696,0.8637639025622963
4,Linear Regression,10859.596064319489,8443.869912746746,2.3470139946304602,0.939580957797099
4,BiLSTM,15737.869769109091,11533.96771327395,3.1403956111834894,0.8731067888306538
4,BiGRU,14865.428490108554,11092.75938904533,3.034440600252791,0.8867856812543599
4,CNN-LSTM,14694.67074184333,10968.727399695874,3.0165030093918443,0.8893717067381699
